Alcoholic Beverages,Animal Products,Animal fats,Cereals - Excluding Beer,Eggs,Aquatic,Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar ,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous
0.4676,20.7182,0.006,24.8966,1.2409,0.9712,0.2278,13.914000000000001,2.9615,1.6246,1.157,0.6235,0.1319,0.7793,0.1679,0.0,0.03,29.2848,0.0,0.7973,0.0
0.2423,18.8205,0.0064,18.8078,1.5493,4.6541,0.7013,7.6251,3.4173,1.5684,1.7469,3.685,0.0446,3.634,0.5802,0.0,0.0446,31.1763,0.0128,1.6066,0.0765
0.0359,11.9253,0.0,24.7486,0.3592,6.5733,0.449,2.694,1.9037,0.3951,2.3527,5.0916,0.1976,2.9813,0.1437,0.0,0.2335,38.0747,0.009000000000000001,1.7241,0.1078
0.6525,30.2658,0.3023,12.9162,1.7081,2.0631,0.6237,13.7703,12.0526,0.3646,0.7821,0.2351,0.12,1.3051,0.6669,0.0048,0.7005,19.7342,0.0288,1.7033,0.0
0.0,18.4403,0.0188,25.3429,0.451,1.6348,0.2318,7.2346,7.9737,1.1275,0.3257,3.8334,0.0125,0.23800000000000002,0.5951,0.0,0.0,31.5565,0.0063,0.8331,0.1441
0.2314,25.6899,0.1016,17.7775,1.6141,2.0374,0.4966,16.5077,5.226,0.1919,0.4571,1.3996,0.0282,1.8285,0.316,0.0,0.2653,24.3185,0.0169,1.4222,0.0734
0.0588,20.0246,0.0374,23.3709,1.0317,0.3582,0.7698,7.1952,10.5736,0.8286,0.1336,0.0107,0.016,1.2509,0.1604,0.0,0.1657,29.9781,0.0053,3.9985,0.0321
0.1784,31.0849,0.2677,13.4993,1.6015,3.9079,0.6513,12.8703,11.1617,1.2714,0.4104,0.513,0.0401,0.977,0.7361,0.0045,0.3569,18.9195,0.0134,1.4811,0.0535
0.1562,8.7767,0.0,24.9634,0.5467,3.2510000000000003,0.5760000000000001,3.0265,1.5619999999999998,0.4003,0.6248,7.654,0.0098,5.7796,0.2831,0.0,0.2343,41.2184,0.0,0.8591,0.0781
0.0433,13.5655,0.10400000000000001,26.8711,0.2166,1.9491,0.2685,10.6289,0.2772,0.3812,2.157,3.6036,0.0866,1.0135,1.2474,0.0,0.0,36.4432,0.0087,0.9356,0.1992
0.3682,20.29,0.1534,21.8932,0.3299,0.8208,0.3759,8.3615,9.3971,1.2274,1.5572,1.3194,0.4066,1.7413,0.3068,0.0,0.0384,29.71,0.0153,1.189,0.4986
0.2653,9.5357,0.0078,32.4932,0.2107,0.4292,0.1795,5.9227,1.7948,1.1705,0.3043,4.1826,0.2107,1.9586,0.0624,0.0,0.0078,40.4682,0.0,0.7101,0.0858
0.201,18.9431,0.0893,18.6156,0.9378,2.3074,1.5035,10.748,4.5999,0.2531,1.7864,5.9918,0.0521,0.4094,0.2903,0.0,0.1265,31.0607,0.0372,1.3844,0.6624
0.3794,35.786,0.3298,9.3826,1.2163,9.3968,0.6383,11.7124,12.5102,0.617,0.5142,0.1596,0.1312,0.5674,0.9184,0.0035,0.1773,14.2158,0.0035,0.9787,0.3617
0.4817,14.6494,0.0153,25.843000000000004,0.2982,10.2607,0.2982,3.2571,0.3441,0.474,4.5722,2.2173,0.1988,0.5046,0.0535,0.0153,0.0382,35.3544,0.0,0.8946,0.2294
0.1648,30.6446,0.0471,10.8868,2.7059,5.9841,0.43700000000000006,16.3074,2.4705,3.1282,1.7892,0.3149,0.0765,0.5253,0.387,0.0103,0.6092,19.3546,0.0059,3.6829,0.4679
0.7973,29.4291,0.9807,12.8688,3.0856,2.1049,0.606,13.8574,8.2842,1.1162,0.9727,0.6697,0.1515,1.7621,0.6618,0.0159,0.3189,20.5789,0.0558,1.5468,0.1355
0.3023,28.5384,0.1539,14.1043,1.6765,3.6663,0.6651,18.0949,4.4303,0.5222,1.2917,1.1983,0.1154,1.1763,0.3463,0.011000000000000001,0.5497,21.4533,0.011000000000000001,1.693,0.0
0.0,20.4155,0.0606,16.2513,1.0294,2.9531,0.885,10.3405,5.4823,0.5496,0.8803,7.5411,0.5962,0.2189,0.2282,0.0,0.9875,29.5822,0.0047,1.756,0.2376
0.7448,11.1646,0.0078,18.3955,0.225,3.6853,0.3491,5.6948,1.094,0.45,3.2508,4.275,1.6293,7.7818,0.0233,0.0,0.5741,38.8393,0.0,1.7457,0.0698
0.2541,27.7588,0.0058,12.4213,3.5687,9.6379,0.3292,9.8112,4.1058,0.6294,4.9835,0.4966,0.1848,0.5139,0.6699,0.0982,0.2079,22.2383,0.0289,1.9923,0.0635
0.5332,18.3339,0.0633,19.2578,0.7918,0.8341,0.7338,6.7096,9.3808,0.5543,0.6863,1.6998,1.3461,1.8582,0.9449,0.0053,0.2059,31.6634,0.0158,4.1651,0.2164
0.1344,28.2153,0.11199999999999999,12.3067,1.4508,6.6939,0.6890000000000001,13.9872,5.3944,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0.0,0.2465,21.7791,0.027999999999999997,1.4844,0.9075
0.3465,16.3039,0.0596,28.2218,1.4078,0.4873,0.5631,6.8551,6.8497,0.6444,0.0541,0.1787,0.0108,1.7652,0.2328,0.0,0.3411,33.7015,0.0217,1.9114,0.0433
0.2626,25.6945,0.0346,15.038,2.3981,1.4444,2.1493,12.4395,8.4243,0.9468,0.6496,2.3497,0.1106,1.8037,0.1313,0.4837,0.2211,24.3124,0.0346,0.9883,0.0829
0.2946,32.4775,0.0264,10.4594,2.0048,2.3917,0.5935,18.0875,9.8791,0.0879,1.2706,1.0332,0.1231,1.064,0.6331,0.0747,0.4924,17.5247,0.0835,1.3981,0.0
0.2367,34.0697,0.1092,13.0902,0.7768,0.1032,0.085,19.8082,9.7706,3.5016,0.091,0.1456,0.0061,0.8011,0.4005,0.0,0.0243,15.9303,0.0182,0.8618,0.1699
0.1509,12.1922,0.0079,16.2272,0.2701,6.6164,2.5417,4.1064,0.5878,0.5957,2.5576,3.2089,1.2073,10.8181,0.0159,0.0318,0.1191,37.8157,0.0159,0.8419,0.0715
0.1398,14.7782,0.0839,15.0205,0.3168,9.1315,0.5498,3.9415,1.0622,0.2423,1.9847,5.4603,0.1398,10.9672,0.1677,0.0,0.0839,35.2218,0.0,0.4752,0.2329
0.1555,20.4466,0.1555,18.5247,0.7665,5.7491,0.7165,11.0426,1.0887,1.6442,3.7994,0.9387,0.5221,0.2333,0.5444,0.0223,0.3277,29.5617,0.0,3.7216,0.0389
0.2987,20.4911,0.0166,20.7234,1.4186,3.924,1.3274,11.2992,3.5589999999999997,0.2821,1.7007,1.0204,0.0747,0.8794,0.3484,0.0166,0.0581,29.5006,0.0249,2.4224,0.6139
0.1724,12.6375,0.0411,24.2979,0.312,0.9115,0.6241,5.1897,5.4114,0.7719,0.4434,8.0145,0.0411,2.0939,0.4681,0.0,0.1314,37.3542,0.0411,1.0347,0.0082
0.0404,9.2262,0.0162,26.1017,0.4286,2.4419999999999997,1.3019,4.1077,1.4797,0.7601,3.5417,2.1590000000000003,0.0,3.0403,0.2183,0.0,0.0,40.7779,0.0081,4.2371,0.1132
0.0517,15.0004,0.0443,23.269000000000002,0.4581,1.6922,1.2266,6.9608,5.4607,0.3769,1.2636,2.8671,0.0961,0.9754,0.7389,0.0,1.2414,35.0107,0.0148,2.9705,0.2808
0.0323,13.835999999999999,0.0054,26.5633,1.2916,0.635,1.1624,3.5088,8.0616,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0.0,0.2745,36.1694,0.0269,3.1267,0.1399
0.2579,28.7765,0.0688,13.735,1.6073,3.6271,0.5845,13.9886,9.1968,0.2836,0.5802,1.0314,0.0774,0.7005,0.6188,0.0,0.3696,21.2257,0.0215,3.1501,0.0988
0.1203,17.3405,0.0468,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0.0,0.0334,32.6495,0.0267,1.5035,0.3074
0.4784,25.6914,0.0224,13.1111,2.0631,2.0182,3.5207,12.9167,7.1386,1.5324,0.7774,3.7823,0.0747,0.8073,0.4111,0.0,0.0374,24.3086,0.0,0.9643,0.3438
0.0,14.4317,0.2626,26.42,1.2388,1.9124,1.2274,7.6383,2.8201,0.5537,0.1313,2.4034,0.177,0.9248,0.3311,0.0057,1.3701,35.5712,0.0057,2.5746,0.0
0.4758,28.108,0.0673,13.8546,1.6724,2.5181,0.7256,14.5754,8.8375,0.4325,0.7353,1.0909,0.17300000000000001,1.9607,0.7785,0.0048,0.2979,21.8944,0.0,1.4657,0.3316
0.3458,25.1828,0.6868,12.9249,2.0553,2.8804,0.6868,13.7253,5.7905,0.0445,2.416,3.7451,0.1532,1.3785,0.6374,0.0099,0.5534,24.8172,0.084,1.5909,0.2915
